"id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"JCFIQ4kUiA8","15741","1348","36","0","744"
"XVhBUjIBboM","8230","37","1","0","5"
"STZ0Ar0b-iA","11931","870","42","0","86"
"x8HkKjGssaM","36563","1749","60","0","1014"
"mGa4U-ESrc4","2118","18","0","0","0"
"oH9EZmqIcI8","19472","1488","20","0","722"
"Zv_CrWOQ39I","14788","715","33","0","373"
"8yllbJ130XM","1752","21","0","0","5"
"Fg7KriNiYBc","27121","1671","53","0","1456"
"B6Tl3gLRbWQ","1990","32","1","0","0"
"mXehhlyNUes","1399","36","1","0","4"
"g93OfL1Fybc","38271","1069","66","0","320"
"3WQb27os6gw","8376","897","27","0","314"
"PeUmT3n38HM","22716","1226","27","0","501"
"iUS8bOLuqeI","73672","2483","207","0","892"
"2D0jTMAtooU","116004","4473","381","0","3478"
"fxVQwRQL8rM","11304","71","2","0","2"
"ThRmLxQKSgg","22986","1560","32","0","682"
"cqDuKaCEEdw","36389","555","36","0","227"
"gG51APZ1heM","4262","22","0","0","2"
"vZP-4UjxAmk","15970","1190","31","0","460"
"sx65xKQMK0w","88017","4146","263","0","2210"
"Hw_HcFFf3EE","7771","780","22","0","307"
"FzdhANrkqkw","28175","2281","71","0","1014"
"CUL2EoUpmHs","92979","5480","162","0","3894"
"BSp-PFnEczI","11983","118","8","0","31"
"OSsUzG-fJTM","20126","514","22","0","125"
"dI-9ipkG8ks","26890","204","15","0","51"
"rRb7KA5LRrE","134046","3413","276","0","1077"
"np5YTAbu7S4","9544","65","1","0","13"
"GsSUqVpwUK4","20031","371","17","0","53"
"sNbCvBwnBpw","17597","625","45","0","203"
"7qJ_830i1rE","24364","848","55","0","273"
"GAFeah-FvUY","57905","310","26","0","62"
"aiNiD9wFJyw","13753","113","11","0","12"
"88STqlr-s74","34378","527","22","0","160"
"WoAX3SRZEV4","22386","1091","45","0","457"
"aWr2NUvbcVI","26039","703","33","0","199"
"4wtJgZEyD8k","24242","1918","21","0","918"
"BQCKsYbt8a8","1416","15","0","0","0"
"FX0F48VBMQg","48104","4771","172","0","2870"
"aPm0NKcBZcY","368815","17710","2561","0","12176"
"woOQ6cmxKIY","142864","2884","155","0","2513"
"555dbWcWtN0","45456","479","34","0","178"
"WSK6LsFPQ4o","18253","200","11","0","90"
"L8nLPBXZfUA","8298","165","7","0","37"
"UMrpBH8AfgQ","4570","53","2","0","5"
"O-yYtcT1k_4","91023","5030","133","0","2575"
"zIyHutajFNY","61953","362","33","0","233"
"f5p2zt0ne_4","37488","1421","93","0","825"
"urmWwqphR9A","32961","2441","155","0","1989"
"T28RErvyco8","4179","318","7","0","37"
"cr56HuPf-9o","50361","866","44","0","340"
"UtPMdJy6uQ0","47160","3201","63","0","1144"
"cbAXsWU5G0Q","22410","543","22","0","498"
"wb1oi3Ucje0","226255","1474","77","0","208"
"ssnlbnAGGV0","103358","670","46","0","220"
"BRbE280sIEg","26454","314","6","0","51"
"_WwJCA9LXjA","8518","269","12","0","73"
"FIkcx7mq7zE","7537","65","1","0","8"
"4LnO7g9jcWs","1980","22","0","0","2"
"vSJJRAK1FXQ","7558","327","22","0","101"
"Bt6EyA0IgVI","15344","173","6","0","46"
"Z-pDq1dGGRU","38413","2380","88","0","794"
"SpozZAjtqJM","64376","1341","80","0","707"
"YX7f8YWQYoE","6544","401","12","0","90"
"Gle1Df0LjxQ","21710","180","10","0","23"
"9gDTixalK5Q","103912","1758","187","0","963"
"kGlaa2h2PMQ","15822","415","10","0","88"
"gi5AeBW2MLw","10497","241","6","0","104"
"eXqoFc4wA0A","24894","1672","86","0","296"
"e4Cn-H7rmbg","2648","21","0","0","5"
"6mK_qFnr1jg","32376","837","47","0","392"
"2VOB6_Xt2P4","116800","2076","215","0","1101"
"5ED82M0_tHg","34896","2463","59","0","483"
"Y0TCa-pHmVs","25158","1629","41","0","688"
"MHcStQeTpYI","18621","1443","18","0","549"
"nqRdz2vgHkE","40252","296","21","0","84"
"PucJGg9_Ksk","42729","632","27","0","244"
"1IwuRFcFs5s","44796","2111","64","0","1015"
"XlDtpnXN430","84411","2635","169","0","1836"
"wZdig6yFsls","64116","2449","94","0","1708"
"Lvp8NZOauYw","13072","437","45","0","232"
"q71NyLu3vgc","33430","1357","27","0","643"
"-cKZ0HKbijQ","39024","245","20","0","63"
"m90YhqkRJw4","25837","251","17","0","53"
"jEpb2gQLMCA","7911","579","14","0","128"
