"V1","V2","freq"
"Baked Alaska","Tim Pool",54
"Baked Alaska","Tommy Robinson",6
"Baked Alaska","Tree of Logic",24
"Baked Alaska","Vee",40
"Baked Alaska","Wife With a Purpose",7
"Ben Shapiro","Andrew Klavan",28
"Ben Shapiro","Andy Warski",188
"Ben Shapiro","Baked Alaska",5
"Ben Shapiro","Black Pigeon Speaks",132
"Ben Shapiro","Blaire White",31
"Ben Shapiro","Blonde in the Belly of the Beast",85
"Ben Shapiro","Bre Faucheux",20
"Ben Shapiro","Brittany Pettibone",78
"Ben Shapiro","Bunty King",36
"Ben Shapiro","Candace Owens",17
"Ben Shapiro","Caolan Robertson",9
"Ben Shapiro","Chris Ray Gun",74
"Ben Shapiro","Coach Red Pill",59
"Ben Shapiro","Computing Forever",221
"Ben Shapiro","Dave Rubin",428
"Ben Shapiro","Dennis Prager",274
"Ben Shapiro","Destiny",51
"Ben Shapiro","Faith Goldy",26
"Ben Shapiro","Gavin McInness",162
"Ben Shapiro","James Allsup",101
"Ben Shapiro","Jared Taylor",61
"Ben Shapiro","Jeff Holiday",67
"Ben Shapiro","JF Gariepy",44
"Ben Shapiro","Joe Rogan",174
"Ben Shapiro","Jordan Peterson",224
"Ben Shapiro","Kraut and Tea",29
"Ben Shapiro","Lauren Southern",82
"Ben Shapiro","Mark Collett",23
"Ben Shapiro","Michael Knowles",14
"Ben Shapiro","Mike Cernovich",68
"Ben Shapiro","Millennial Woes",59
"Ben Shapiro","Milo Yiannopoulos",420
"Ben Shapiro","Mister Metokur",50
"Ben Shapiro","Mouthy Buddha",43
"Ben Shapiro","Mundane Matt",182
"Ben Shapiro","Nicholas Fuentes",32
"Ben Shapiro","No Bullshit",174
"Ben Shapiro","Owen Benjamin",228
"Ben Shapiro","Paul Joseph Watson",200
"Ben Shapiro","Roaming Millenial",126
"Ben Shapiro","Sargon of Akkad",314
"Ben Shapiro","Some Black Guy",152
"Ben Shapiro","Stefan Molyneaux",267
"Ben Shapiro","Steven Crowder",473
"Ben Shapiro","Styxhexenhammer666",258
"Ben Shapiro","Tara McCarthy",11
"Ben Shapiro","That Guy T",67
"Ben Shapiro","Tim Pool",298
"Ben Shapiro","Tommy Robinson",40
"Ben Shapiro","Tree of Logic",105
"Ben Shapiro","Vee",137
"Ben Shapiro","Wife With a Purpose",6
"Black Pigeon Speaks","Andrew Klavan",8
"Black Pigeon Speaks","Andy Warski",478
"Black Pigeon Speaks","Baked Alaska",21
"Black Pigeon Speaks","Ben Shapiro",165
"Black Pigeon Speaks","Blaire White",65
"Black Pigeon Speaks","Blonde in the Belly of the Beast",434
"Black Pigeon Speaks","Bre Faucheux",137
"Black Pigeon Speaks","Brittany Pettibone",442
"Black Pigeon Speaks","Bunty King",49
"Black Pigeon Speaks","Candace Owens",25
"Black Pigeon Speaks","Caolan Robertson",25
"Black Pigeon Speaks","Chris Ray Gun",141
"Black Pigeon Speaks","Coach Red Pill",245
"Black Pigeon Speaks","Computing Forever",1054
"Black Pigeon Speaks","Dave Rubin",539
"Black Pigeon Speaks","Dennis Prager",471
"Black Pigeon Speaks","Destiny",68
"Black Pigeon Speaks","Faith Goldy",145
"Black Pigeon Speaks","Gavin McInness",265
"Black Pigeon Speaks","James Allsup",402
"Black Pigeon Speaks","Jared Taylor",415
"Black Pigeon Speaks","Jeff Holiday",133
"Black Pigeon Speaks","JF Gariepy",238
"Black Pigeon Speaks","Joe Rogan",127
"Black Pigeon Speaks","Jordan Peterson",297
"Black Pigeon Speaks","Kraut and Tea",190
"Black Pigeon Speaks","Lauren Southern",423
"Black Pigeon Speaks","Mark Collett",404
"Black Pigeon Speaks","Michael Knowles",4
"Black Pigeon Speaks","Mike Cernovich",113
"Black Pigeon Speaks","Millennial Woes",398
"Black Pigeon Speaks","Milo Yiannopoulos",733
"Black Pigeon Speaks","Mister Metokur",194
"Black Pigeon Speaks","Mouthy Buddha",170
"Black Pigeon Speaks","Mundane Matt",492
"Black Pigeon Speaks","Nicholas Fuentes",69
"Black Pigeon Speaks","No Bullshit",614
"Black Pigeon Speaks","Owen Benjamin",251
"Black Pigeon Speaks","Paul Joseph Watson",817
"Black Pigeon Speaks","Roaming Millenial",352
"Black Pigeon Speaks","Sargon of Akkad",1067
"Black Pigeon Speaks","Some Black Guy",301
"Black Pigeon Speaks","Stefan Molyneaux",1080
"Black Pigeon Speaks","Steven Crowder",513
"Black Pigeon Speaks","Styxhexenhammer666",747
"Black Pigeon Speaks","Tara McCarthy",45
"Black Pigeon Speaks","That Guy T",202
"Black Pigeon Speaks","Tim Pool",855
"Black Pigeon Speaks","Tommy Robinson",127
"Black Pigeon Speaks","Tree of Logic",263
"Black Pigeon Speaks","Vee",484
"Black Pigeon Speaks","Wife With a Purpose",40
"Blaire White","Andy Warski",169
"Blaire White","Baked Alaska",5
"Blaire White","Ben Shapiro",46
"Blaire White","Black Pigeon Speaks",68
"Blaire White","Blonde in the Belly of the Beast",50
"Blaire White","Bre Faucheux",4
"Blaire White","Brittany Pettibone",28
"Blaire White","Bunty King",24
"Blaire White","Candace Owens",10
"Blaire White","Caolan Robertson",3
"Blaire White","Chris Ray Gun",76
"Blaire White","Coach Red Pill",21
"Blaire White","Computing Forever",101
"Blaire White","Dave Rubin",118
"Blaire White","Dennis Prager",102
"Blaire White","Destiny",24
"Blaire White","Faith Goldy",8
"Blaire White","Gavin McInness",41
"Blaire White","James Allsup",87
"Blaire White","Jared Taylor",23
"Blaire White","Jeff Holiday",47
"Blaire White","JF Gariepy",16
"Blaire White","Joe Rogan",25
"Blaire White","Jordan Peterson",37
"Blaire White","Kraut and Tea",15
"Blaire White","Lauren Southern",83
"Blaire White","Mark Collett",32
"Blaire White","Michael Knowles",1
"Blaire White","Mike Cernovich",6
"Blaire White","Millennial Woes",17
"Blaire White","Milo Yiannopoulos",148
"Blaire White","Mister Metokur",28
"Blaire White","Mouthy Buddha",21
"Blaire White","Mundane Matt",83
"Blaire White","Nicholas Fuentes",3
"Blaire White","No Bullshit",180
"Blaire White","Owen Benjamin",38
"Blaire White","Paul Joseph Watson",161
"Blaire White","Roaming Millenial",180
"Blaire White","Sargon of Akkad",130
"Blaire White","Some Black Guy",165
"Blaire White","Stefan Molyneaux",88
"Blaire White","Steven Crowder",159
"Blaire White","Styxhexenhammer666",61
"Blaire White","Tara McCarthy",2
"Blaire White","That Guy T",22
"Blaire White","Tim Pool",74
"Blaire White","Tommy Robinson",5
"Blaire White","Tree of Logic",54
"Blaire White","Vee",31
"Blaire White","Wife With a Purpose",2
"Blonde in the Belly of the Beast","Andrew Klavan",4
"Blonde in the Belly of the Beast","Andy Warski",247
"Blonde in the Belly of the Beast","Baked Alaska",6
"Blonde in the Belly of the Beast","Ben Shapiro",84
"Blonde in the Belly of the Beast","Black Pigeon Speaks",369
"Blonde in the Belly of the Beast","Blaire White",41
"Blonde in the Belly of the Beast","Bre Faucheux",130
"Blonde in the Belly of the Beast","Brittany Pettibone",375
"Blonde in the Belly of the Beast","Bunty King",31
"Blonde in the Belly of the Beast","Candace Owens",18
"Blonde in the Belly of the Beast","Caolan Robertson",16
"Blonde in the Belly of the Beast","Chris Ray Gun",45
"Blonde in the Belly of the Beast","Coach Red Pill",142
"Blonde in the Belly of the Beast","Computing Forever",429
"Blonde in the Belly of the Beast","Dave Rubin",323
"Blonde in the Belly of the Beast","Dennis Prager",203
"Blonde in the Belly of the Beast","Destiny",34
"Blonde in the Belly of the Beast","Faith Goldy",65
"Blonde in the Belly of the Beast","Gavin McInness",139
"Blonde in the Belly of the Beast","James Allsup",131
"Blonde in the Belly of the Beast","Jared Taylor",210
"Blonde in the Belly of the Beast","Jeff Holiday",108
"Blonde in the Belly of the Beast","JF Gariepy",126
"Blonde in the Belly of the Beast","Joe Rogan",70
"Blonde in the Belly of the Beast","Jordan Peterson",148
"Blonde in the Belly of the Beast","Kraut and Tea",69
"Blonde in the Belly of the Beast","Lauren Southern",272
"Blonde in the Belly of the Beast","Mark Collett",175
"Blonde in the Belly of the Beast","Michael Knowles",4
"Blonde in the Belly of the Beast","Mike Cernovich",70
"Blonde in the Belly of the Beast","Millennial Woes",223
"Blonde in the Belly of the Beast","Milo Yiannopoulos",425
"Blonde in the Belly of the Beast","Mister Metokur",51
"Blonde in the Belly of the Beast","Mouthy Buddha",75
"Blonde in the Belly of the Beast","Mundane Matt",197
"Blonde in the Belly of the Beast","Nicholas Fuentes",35
"Blonde in the Belly of the Beast","No Bullshit",238
"Blonde in the Belly of the Beast","Owen Benjamin",161
"Blonde in the Belly of the Beast","Paul Joseph Watson",320
"Blonde in the Belly of the Beast","Roaming Millenial",322
"Blonde in the Belly of the Beast","Sargon of Akkad",405
"Blonde in the Belly of the Beast","Some Black Guy",197
"Blonde in the Belly of the Beast","Stefan Molyneaux",466
"Blonde in the Belly of the Beast","Steven Crowder",219
"Blonde in the Belly of the Beast","Styxhexenhammer666",383
"Blonde in the Belly of the Beast","Tara McCarthy",33
"Blonde in the Belly of the Beast","That Guy T",127
"Blonde in the Belly of the Beast","Tim Pool",377
"Blonde in the Belly of the Beast","Tommy Robinson",59
"Blonde in the Belly of the Beast","Tree of Logic",210
"Blonde in the Belly of the Beast","Vee",174
"Blonde in the Belly of the Beast","Wife With a Purpose",59
"Bre Faucheux","Andy Warski",173
"Bre Faucheux","Baked Alaska",18
"Bre Faucheux","Ben Shapiro",17
"Bre Faucheux","Black Pigeon Speaks",132
"Bre Faucheux","Blaire White",10
"Bre Faucheux","Blonde in the Belly of the Beast",159
"Bre Faucheux","Brittany Pettibone",224
"Bre Faucheux","Bunty King",10
"Bre Faucheux","Candace Owens",1
"Bre Faucheux","Caolan Robertson",7
"Bre Faucheux","Chris Ray Gun",6
"Bre Faucheux","Coach Red Pill",91
"Bre Faucheux","Computing Forever",122
"Bre Faucheux","Dave Rubin",86
"Bre Faucheux","Dennis Prager",42
"Bre Faucheux","Destiny",25
"Bre Faucheux","Faith Goldy",32
"Bre Faucheux","Gavin McInness",41
"Bre Faucheux","James Allsup",92
"Bre Faucheux","Jared Taylor",174
"Bre Faucheux","Jeff Holiday",23
"Bre Faucheux","JF Gariepy",166
"Bre Faucheux","Joe Rogan",14
"Bre Faucheux","Jordan Peterson",35
"Bre Faucheux","Kraut and Tea",23
"Bre Faucheux","Lauren Southern",66
"Bre Faucheux","Mark Collett",224
"Bre Faucheux","Michael Knowles",2
"Bre Faucheux","Mike Cernovich",26
"Bre Faucheux","Millennial Woes",239
"Bre Faucheux","Milo Yiannopoulos",145
"Bre Faucheux","Mister Metokur",24
"Bre Faucheux","Mouthy Buddha",28
"Bre Faucheux","Mundane Matt",56
"Bre Faucheux","Nicholas Fuentes",77
"Bre Faucheux","No Bullshit",61
"Bre Faucheux","Owen Benjamin",40
"Bre Faucheux","Paul Joseph Watson",100
"Bre Faucheux","Roaming Millenial",67
"Bre Faucheux","Sargon of Akkad",110
"Bre Faucheux","Some Black Guy",49
"Bre Faucheux","Stefan Molyneaux",136
"Bre Faucheux","Steven Crowder",54
"Bre Faucheux","Styxhexenhammer666",164
"Bre Faucheux","Tara McCarthy",43
"Bre Faucheux","That Guy T",37
"Bre Faucheux","Tim Pool",118
"Bre Faucheux","Tommy Robinson",16
"Bre Faucheux","Tree of Logic",92
"Bre Faucheux","Vee",93
"Bre Faucheux","Wife With a Purpose",77
"Brittany Pettibone","Andrew Klavan",4
"Brittany Pettibone","Andy Warski",308
"Brittany Pettibone","Baked Alaska",19
"Brittany Pettibone","Ben Shapiro",91
"Brittany Pettibone","Black Pigeon Speaks",479
"Brittany Pettibone","Blaire White",54
"Brittany Pettibone","Blonde in the Belly of the Beast",534
"Brittany Pettibone","Bre Faucheux",189
"Brittany Pettibone","Bunty King",30
"Brittany Pettibone","Candace Owens",24
"Brittany Pettibone","Caolan Robertson",26
"Brittany Pettibone","Chris Ray Gun",54
"Brittany Pettibone","Coach Red Pill",217
"Brittany Pettibone","Computing Forever",462
"Brittany Pettibone","Dave Rubin",381
"Brittany Pettibone","Dennis Prager",225
"Brittany Pettibone","Destiny",42
"Brittany Pettibone","Faith Goldy",130
"Brittany Pettibone","Gavin McInness",195
"Brittany Pettibone","James Allsup",220
"Brittany Pettibone","Jared Taylor",265
"Brittany Pettibone","Jeff Holiday",74
"Brittany Pettibone","JF Gariepy",210
"Brittany Pettibone","Joe Rogan",71
"Brittany Pettibone","Jordan Peterson",176
"Brittany Pettibone","Kraut and Tea",72
"Brittany Pettibone","Lauren Southern",438
"Brittany Pettibone","Mark Collett",277
"Brittany Pettibone","Michael Knowles",4
"Brittany Pettibone","Mike Cernovich",90
"Brittany Pettibone","Millennial Woes",334
"Brittany Pettibone","Milo Yiannopoulos",506
"Brittany Pettibone","Mister Metokur",48
"Brittany Pettibone","Mouthy Buddha",82
"Brittany Pettibone","Mundane Matt",183
"Brittany Pettibone","Nicholas Fuentes",98
"Brittany Pettibone","No Bullshit",224
"Brittany Pettibone","Owen Benjamin",177
"Brittany Pettibone","Paul Joseph Watson",371
"Brittany Pettibone","Roaming Millenial",331
"Brittany Pettibone","Sargon of Akkad",443
"Brittany Pettibone","Some Black Guy",169
"Brittany Pettibone","Stefan Molyneaux",558
"Brittany Pettibone","Steven Crowder",220
"Brittany Pettibone","Styxhexenhammer666",449
"Brittany Pettibone","Tara McCarthy",71
"Brittany Pettibone","That Guy T",94
"Brittany Pettibone","Tim Pool",521
"Brittany Pettibone","Tommy Robinson",163
"Brittany Pettibone","Tree of Logic",177
"Brittany Pettibone","Vee",256
"Brittany Pettibone","Wife With a Purpose",67
"Bunty King","Andrew Klavan",1
"Bunty King","Andy Warski",385
"Bunty King","Baked Alaska",11
"Bunty King","Ben Shapiro",36
"Bunty King","Black Pigeon Speaks",48
"Bunty King","Blaire White",22
"Bunty King","Blonde in the Belly of the Beast",47
"Bunty King","Bre Faucheux",13
"Bunty King","Brittany Pettibone",63
"Bunty King","Candace Owens",6
"Bunty King","Chris Ray Gun",169
"Bunty King","Coach Red Pill",59
"Bunty King","Computing Forever",160
"Bunty King","Dave Rubin",167
"Bunty King","Dennis Prager",44
"Bunty King","Destiny",75
"Bunty King","Faith Goldy",9
"Bunty King","Gavin McInness",45
"Bunty King","James Allsup",41
"Bunty King","Jared Taylor",33
"Bunty King","Jeff Holiday",236
"Bunty King","JF Gariepy",81
"Bunty King","Joe Rogan",38
"Bunty King","Jordan Peterson",56
"Bunty King","Kraut and Tea",72
"Bunty King","Lauren Southern",41
"Bunty King","Mark Collett",23
"Bunty King","Michael Knowles",2
"Bunty King","Mike Cernovich",14
"Bunty King","Millennial Woes",55
"Bunty King","Milo Yiannopoulos",220
"Bunty King","Mister Metokur",62
"Bunty King","Mouthy Buddha",66
"Bunty King","Mundane Matt",209
"Bunty King","Nicholas Fuentes",25
"Bunty King","No Bullshit",83
"Bunty King","Owen Benjamin",81
"Bunty King","Paul Joseph Watson",61
"Bunty King","Roaming Millenial",66
"Bunty King","Sargon of Akkad",242
"Bunty King","Some Black Guy",295
"Bunty King","Stefan Molyneaux",79
"Bunty King","Steven Crowder",92
"Bunty King","Styxhexenhammer666",128
"Bunty King","Tara McCarthy",1
"Bunty King","That Guy T",97
"Bunty King","Tim Pool",243
"Bunty King","Tommy Robinson",6
"Bunty King","Tree of Logic",71
"Bunty King","Vee",197
"Bunty King","Wife With a Purpose",7
"Candace Owens","Andy Warski",18
"Candace Owens","Ben Shapiro",16
"Candace Owens","Black Pigeon Speaks",32
"Candace Owens","Blaire White",16
"Candace Owens","Blonde in the Belly of the Beast",14
"Candace Owens","Bre Faucheux",4
"Candace Owens","Brittany Pettibone",14
"Candace Owens","Bunty King",3
"Candace Owens","Caolan Robertson",1
"Candace Owens","Chris Ray Gun",5
"Candace Owens","Coach Red Pill",8
"Candace Owens","Computing Forever",25
"Candace Owens","Dave Rubin",31
"Candace Owens","Dennis Prager",31
"Candace Owens","Destiny",3
"Candace Owens","Faith Goldy",6
"Candace Owens","Gavin McInness",20
"Candace Owens","James Allsup",23
"Candace Owens","Jared Taylor",15
"Candace Owens","Jeff Holiday",3
"Candace Owens","JF Gariepy",2
"Candace Owens","Joe Rogan",8
"Candace Owens","Jordan Peterson",13
"Candace Owens","Kraut and Tea",2
"Candace Owens","Lauren Southern",32
"Candace Owens","Mark Collett",18
"Candace Owens","Mike Cernovich",8
"Candace Owens","Millennial Woes",2
"Candace Owens","Milo Yiannopoulos",39
"Candace Owens","Mister Metokur",3
"Candace Owens","Mouthy Buddha",5
"Candace Owens","Mundane Matt",18
"Candace Owens","Nicholas Fuentes",1
"Candace Owens","No Bullshit",34
"Candace Owens","Owen Benjamin",11
"Candace Owens","Paul Joseph Watson",61
"Candace Owens","Roaming Millenial",24
"Candace Owens","Sargon of Akkad",25
"Candace Owens","Some Black Guy",32
"Candace Owens","Stefan Molyneaux",42
"Candace Owens","Steven Crowder",45
"Candace Owens","Styxhexenhammer666",29
"Candace Owens","That Guy T",8
"Candace Owens","Tim Pool",41
"Candace Owens","Tommy Robinson",10
"Candace Owens","Tree of Logic",18
"Candace Owens","Vee",5
"Candace Owens","Wife With a Purpose",1
"Caolan Robertson","Andy Warski",3
"Caolan Robertson","Baked Alaska",1
"Caolan Robertson","Black Pigeon Speaks",12
"Caolan Robertson","Blonde in the Belly of the Beast",7
"Caolan Robertson","Bre Faucheux",1
"Caolan Robertson","Brittany Pettibone",12
"Caolan Robertson","Chris Ray Gun",2
"Caolan Robertson","Computing Forever",14
"Caolan Robertson","Dave Rubin",13
"Caolan Robertson","Dennis Prager",10
"Caolan Robertson","Faith Goldy",1
"Caolan Robertson","Gavin McInness",5
"Caolan Robertson","James Allsup",8
"Caolan Robertson","Jared Taylor",6
"Caolan Robertson","Jeff Holiday",1
"Caolan Robertson","JF Gariepy",3
"Caolan Robertson","Joe Rogan",2
"Caolan Robertson","Jordan Peterson",8
"Caolan Robertson","Kraut and Tea",2
"Caolan Robertson","Lauren Southern",11
"Caolan Robertson","Mark Collett",6
"Caolan Robertson","Michael Knowles",1
"Caolan Robertson","Mike Cernovich",4
"Caolan Robertson","Millennial Woes",5
"Caolan Robertson","Milo Yiannopoulos",38
"Caolan Robertson","Mister Metokur",1
"Caolan Robertson","Mouthy Buddha",1
"Caolan Robertson","Mundane Matt",6
"Caolan Robertson","Nicholas Fuentes",3
"Caolan Robertson","No Bullshit",9
"Caolan Robertson","Owen Benjamin",3
"Caolan Robertson","Paul Joseph Watson",19
"Caolan Robertson","Roaming Millenial",1
"Caolan Robertson","Sargon of Akkad",10
"Caolan Robertson","Some Black Guy",3
"Caolan Robertson","Stefan Molyneaux",13
"Caolan Robertson","Steven Crowder",13
"Caolan Robertson","Styxhexenhammer666",9
"Caolan Robertson","Tara McCarthy",3
"Caolan Robertson","That Guy T",2
"Caolan Robertson","Tim Pool",11
"Caolan Robertson","Tommy Robinson",9
"Caolan Robertson","Tree of Logic",5
"Caolan Robertson","Vee",5
"Caolan Robertson","Wife With a Purpose",1
"Chris Ray Gun","Andrew Klavan",1
"Chris Ray Gun","Andy Warski",458
"Chris Ray Gun","Baked Alaska",3
"Chris Ray Gun","Ben Shapiro",60
"Chris Ray Gun","Black Pigeon Speaks",175
"Chris Ray Gun","Blaire White",97
"Chris Ray Gun","Blonde in the Belly of the Beast",78
"Chris Ray Gun","Bre Faucheux",10
"Chris Ray Gun","Brittany Pettibone",44
"Chris Ray Gun","Bunty King",146
"Chris Ray Gun","Candace Owens",7
"Chris Ray Gun","Caolan Robertson",3
"Chris Ray Gun","Coach Red Pill",63
"Chris Ray Gun","Computing Forever",387
"Chris Ray Gun","Dave Rubin",265
"Chris Ray Gun","Dennis Prager",165
"Chris Ray Gun","Destiny",67
"Chris Ray Gun","Faith Goldy",8
"Chris Ray Gun","Gavin McInness",57
"Chris Ray Gun","James Allsup",200
"Chris Ray Gun","Jared Taylor",30
"Chris Ray Gun","Jeff Holiday",240
"Chris Ray Gun","JF Gariepy",83
"Chris Ray Gun","Joe Rogan",72
"Chris Ray Gun","Jordan Peterson",97
"Chris Ray Gun","Kraut and Tea",145
"Chris Ray Gun","Lauren Southern",118
"Chris Ray Gun","Mark Collett",42
"Chris Ray Gun","Michael Knowles",4
"Chris Ray Gun","Mike Cernovich",9
"Chris Ray Gun","Millennial Woes",56
"Chris Ray Gun","Milo Yiannopoulos",354
"Chris Ray Gun","Mister Metokur",185
"Chris Ray Gun","Mouthy Buddha",63
"Chris Ray Gun","Mundane Matt",470
"Chris Ray Gun","Nicholas Fuentes",22
"Chris Ray Gun","No Bullshit",411
"Chris Ray Gun","Owen Benjamin",89
"Chris Ray Gun","Paul Joseph Watson",272
"Chris Ray Gun","Roaming Millenial",161
"Chris Ray Gun","Sargon of Akkad",825
"Chris Ray Gun","Some Black Guy",509
"Chris Ray Gun","Stefan Molyneaux",145
"Chris Ray Gun","Steven Crowder",315
"Chris Ray Gun","Styxhexenhammer666",152
"Chris Ray Gun","Tara McCarthy",6
"Chris Ray Gun","That Guy T",203
"Chris Ray Gun","Tim Pool",316
"Chris Ray Gun","Tommy Robinson",17
"Chris Ray Gun","Tree of Logic",84
"Chris Ray Gun","Vee",298
"Chris Ray Gun","Wife With a Purpose",4
"Coach Red Pill","Andrew Klavan",3
"Coach Red Pill","Andy Warski",373
"Coach Red Pill","Baked Alaska",24
"Coach Red Pill","Ben Shapiro",60
"Coach Red Pill","Black Pigeon Speaks",245
"Coach Red Pill","Blaire White",27
"Coach Red Pill","Blonde in the Belly of the Beast",216
"Coach Red Pill","Bre Faucheux",89
"Coach Red Pill","Brittany Pettibone",178
"Coach Red Pill","Bunty King",81
"Coach Red Pill","Candace Owens",7
"Coach Red Pill","Caolan Robertson",8
"Coach Red Pill","Chris Ray Gun",57
"Coach Red Pill","Computing Forever",359
"Coach Red Pill","Dave Rubin",258
"Coach Red Pill","Dennis Prager",135
"Coach Red Pill","Destiny",81
"Coach Red Pill","Faith Goldy",22
"Coach Red Pill","Gavin McInness",70
"Coach Red Pill","James Allsup",114
"Coach Red Pill","Jared Taylor",131
"Coach Red Pill","Jeff Holiday",128
"Coach Red Pill","JF Gariepy",288
"Coach Red Pill","Joe Rogan",66
"Coach Red Pill","Jordan Peterson",160
"Coach Red Pill","Kraut and Tea",110
